"codice";"descrizione";"prezzo";"punti"
"2960000001309";PANGRATTATO GR.500PALERMITANA;1.40;0.07000000000000000000
"3010470147829";FRISK.JUNIOR Kg1,5.;6.19;0.30950000000000000000
"3010470150249";FRISK.SECCO xCANE Kg1,5.;5.69;0.28450000000000000000
"3010470151413";FRISK.CROCC.MA/FEG/VE Kg2padr.;6.39;0.31950000000000000000
"3010470153707";FRISK.CROCC.MAN/POL.VERD.Gr400;2.29;0.11450000000000000000
"3010470153714";FRISK.CROCC.SALM/TONN.Gr400.;2.29;0.11450000000000000000
"3010470153967";FRISK.CROCC.CONIG.Gr400padre .;2.29;0.11450000000000000000
"3010470159051";FRISK.VITALITY CON/POL/VER KG2;6.39;0.31950000000000000000
"3011932000805";MARTINI ROSSO LT1.;9.29;0.46450000000000000000
"3011932000829";MARTINI BIANCO LT1.;9.29;0.46450000000000000000
"3013010004439";BACARDI RHUM cl70CARTA BLANC.;14.89;0.74450000000000000000
"3014230000201";DEOD.SPRAY ml150ORIGIN.DOVE .;2.99;0.14950000000000000000
"3014260003593";KIT DA VIAGGIO ORAL B (SP+DEN);3.69;0.18450000000000000000
"3014260090579";COLLUT.ml500ORAL B DENTI/GENG;2.99;0.14950000000000000000
"3014260106515";SPAZZOL.ORAL B BAMBOO CLASS;2.29;0.11450000000000000000
"3014260116729";SHAMP.ORTICA ML250A.ERBORISTE;1.95;0.09750000000000000000
"3014260118174";SCHIUMA BARBA ml300GILLETTE .;2.25;0.11250000000000000000
"3014260210342";LAME X5SENSOR BILAME GILLETT.;10.69;0.53450000000000000000
"3014260214692";GEL BARBA Ml200IDRAT.GILLET;3.89;0.19450000000000000000
"3014260216658";LAME X5SENS.EXCEL RIC.GILLET.;9.99;0.49950000000000000000
"3014260296438";SCHIUMA BARBA ml250RIVIT.GIL.;2.49;0.12450000000000000000
"3014260747930";SPAZZOL.ORAL B CLASSIC CARE;1.29;0.06450000000000000000
"3014260762797";SPAZZOL.ORAL B X3CLASSIC CAR.;2.29;0.11450000000000000000
"3014260797003";SPAZZ.ORAL B PRO EXP.ANTIPL.ME;3.49;0.17450000000000000000
"3017620021619";MON CHERI T16Gr168.;4.79;0.23950000000000000000
"3017620421006";NUTELLA Gr725GRAN FORMATO;5.69;0.28450000000000000000
"3017620694004";CIOCC.K.BUENO T6Gr43X6.;3.99;0.19950000000000000000
"3017621823052";ROCHER PRAL.T30Gr375FERRERO.;9.99;0.49950000000000000000
"3017627101659";CIOCC.KINDER BARRET.T16Gr200.;3.15;0.15750000000000000000
"3017760002707";BISC.MIKADO DARK gr75SAIWA;2.39;0.11950000000000000000
"3017760702096";CRACK.TUC POCKET Gr250Sp  .;2.59;0.12950000000000000000
"3017800204061";PISELLI & CAROTE Gr400C&S;1.35;0.06750000000000000000
"3017800243985";FAGIOLI CANN.VAP.g150x3C&S;1.69;0.08450000000000000000
"3017800256565";MAIS Gr300;0.99;0.04950000000000000000
"3021760403273";GOGO SQUEEZ MELA Gr90;0.79;0.03950000000000000000
"3023100003037";ASS.TAMPAX COMPAK SUPER x16;4.59;0.22950000000000000000
"3023290004999";YOG.LC1MULTIFRUTTI Ml90x8NES;4.39;0.21950000000000000000
"3023290005026";YOG.LC1FRAGOLA Ml90x8NESTLÈ;4.39;0.21950000000000000000
"3023290005057";YOG.LC1BIANCO Ml90x8NESTLÈ;3.99;0.19950000000000000000
"3023290007839";YOG.MIO FRAG.Gr125x2NESTpad .;1.79;0.08950000000000000000
"3023290007860";YOG.MIO ALBIC.Gr125x2NES    .;1.79;0.08950000000000000000
"3023290007891";YOG.MIO BANANA Gr125x2NES   .;1.79;0.08950000000000000000
"3023290007921";YOG.MIO MELA Gr125x2NESTLE'.;1.79;0.08950000000000000000
"3023290007952";YOG.MIO PERA Gr125X2NESTLE' .;1.79;0.08950000000000000000
"3023290007983";YOG.MIO BISCOTTO GR.125x2NEST;1.79;0.08950000000000000000
"3023290012079";KEFIR BIANCO GR.500SVELTESSE;1.99;0.09950000000000000000
"3023290014318";YOG.CHOCOBALLS Gr120NESQUIK;1.29;0.06450000000000000000
"3023290020623";FRUTTOLO FRUTTA MISTA Gr50x4N;1.99;0.09950000000000000000
"3023290020654";FRUTTOLO FRAGOLA Gr50x4PAD  .;2.29;0.11450000000000000000
"3023290020685";FRUTTOLO FRA/PERA/BA.Gr50x6N.;2.89;0.14450000000000000000
"3023290020715";FRUTTOLO FRUTTA MISTA Gr50x6N;2.89;0.14450000000000000000
"3023290036044";GALAK SNACK LATTE Gr26x4NESTL;1.75;0.08750000000000000000
"3023290038321";GALAK SHAKE ML.180NESTLÈ;1.79;0.08950000000000000000
"3023290053973";KEFIR MULTIF.GR.500SVEL.I LOV;1.99;0.09950000000000000000
"3023290054000";KEFIR BIANCO GR.170SVEL.I LOV;1.29;0.06450000000000000000
"3023290054031";KEFIR MIRTIL.GR.170SVEL.I LOV;1.29;0.06450000000000000000
"3023290061299";KEFIR VANIGL.GR.170SVEL.I LOV;1.35;0.06750000000000000000
"3023290062364";YOG.KYR PAPPA REALE GR.125x2;1.49;0.07450000000000000000
"3023290062395";YOG.KYR ALBIC./MIELE GR.125x2;1.49;0.07450000000000000000
"3023290062425";YOG.KYR FRAGOLA GR.125x2;1.49;0.07450000000000000000
